Notation;V;E;ID;FD;Time;SS;US;RPP;T;MinT;Beta;IterN
W(9);10;18;46;18;0.0007598;1;3;0.5;10;0;0.25;5
W(9);10;18;46;18;0.0006881;1;3;0.5;10;0;0.25;5
W(9);10;18;48;18;0.0006636;1;3;0.5;10;0;0.25;5
W(9);10;18;48;18;0.0006681;1;3;0.5;10;0;0.25;5
W(9);10;18;42;18;0.0006666;1;3;0.5;10;0;0.25;5
W(9);10;18;44;18;0.0006896;1;3;0.5;10;0;0.25;5
W(9);10;18;46;18;0.0013348;1;3;0.5;10;0;0.25;5
W(9);10;18;40;18;0.0007989;1;3;0.5;10;0;0.25;5
W(9);10;18;44;18;0.0007193;1;3;0.5;10;0;0.25;5
W(9);10;18;48;18;0.0007059;1;3;0.5;10;0;0.25;5
W(9);10;18;46;18;0.0006938;1;3;0.5;10;0;0.25;5
W(9);10;18;46;18;0.0006941;1;3;0.5;10;0;0.25;5
W(9);10;18;50;18;0.0007056;1;3;0.5;10;0;0.25;5
W(9);10;18;42;18;0.0006709;1;3;0.5;10;0;0.25;5
W(9);10;18;44;18;0.0006649;1;3;0.5;10;0;0.25;5
W(9);10;18;50;18;0.0006707;1;3;0.5;10;0;0.25;5
W(9);10;18;48;18;0.0006716;1;3;0.5;10;0;0.25;5
W(9);10;18;38;18;0.0006796;1;3;0.5;10;0;0.25;5
W(9);10;18;42;18;0.0006844;1;3;0.5;10;0;0.25;5
W(9);10;18;40;18;0.0007093;1;3;0.5;10;0;0.25;5
W(9);10;18;42;18;0.0006577;1;3;0.5;10;0;0.25;5
W(9);10;18;40;18;0.0006374;1;3;0.5;10;0;0.25;5
W(9);10;18;40;18;0.0006361;1;3;0.5;10;0;0.25;5
W(9);10;18;42;18;0.0006463;1;3;0.5;10;0;0.25;5
W(9);10;18;46;18;0.0006475;1;3;0.5;10;0;0.25;5
W(9);10;18;50;18;0.0006545;1;3;0.5;10;0;0.25;5
W(9);10;18;46;18;0.0007042;1;3;0.5;10;0;0.25;5
W(9);10;18;42;18;0.0006619;1;3;0.5;10;0;0.25;5
